rank,team,games,wins,losses,best_win_name,best_win_rating,resume_score,team_elo
130,Citadel,1,0,1,NA,NA,0,178.04718697162303
131,East Tennessee State,1,0,1,NA,NA,0,179.91077725512912
132,Eastern Illinois,1,0,1,NA,NA,0,181.952559073803
133,Eastern Kentucky,2,0,2,NA,NA,0,685.0643073571235
134,Florida A&M,1,0,1,NA,NA,0,180.44666628219082
135,Florida International,2,0,2,NA,NA,0,617.4415842456566
136,Furman,1,0,1,NA,NA,0,182.00728986323608
137,Grambling State,1,0,1,NA,NA,0,177.0111121896259
138,Hofstra,1,0,1,NA,NA,0,181.10108521381403
139,Howard,1,0,1,NA,NA,0,177.81475103990914
140,Idaho State,1,0,1,NA,NA,0,179.63133652815984
141,Illinois State,1,0,1,NA,NA,0,172.94437492799344
142,Indiana State,2,0,2,NA,NA,0,590.5820972594764
143,Jacksonville State,1,0,1,NA,NA,0,181.01684270901592
144,James Madison,1,0,1,NA,NA,0,180.9801458666489
145,Lehigh,1,0,1,NA,NA,0,182.0831255119594
146,Liberty,2,0,2,NA,NA,0,687.2554817929366
147,Massachusetts,1,0,1,NA,NA,0,183.25863325856477
148,McNeese State,1,0,1,NA,NA,0,182.15809311154442
149,Missouri State,1,0,1,NA,NA,0,180.71769107513384
150,Montana State,1,0,1,NA,NA,0,181.6499490770188
151,Murray State,1,0,1,NA,NA,0,178.13213349238129
152,New Hampshire,1,0,1,NA,NA,0,177.1243688436754
153,Nicholls State,1,0,1,NA,NA,0,181.782507241867
154,Northern Arizona,1,0,1,NA,NA,0,180.98411007306356
155,Northern Iowa,1,0,1,NA,NA,0,180.74430312114922
156,Portland State,1,0,1,NA,NA,0,180.5949227118183
157,Rhode Island,1,0,1,NA,NA,0,182.05055238096122
158,Sacramento State,1,0,1,NA,NA,0,180.62656607195288
159,Sam Houston,2,0,2,NA,NA,0,460.1501950831683
160,Samford,1,0,1,NA,NA,0,182.0054474942738
161,Southeast Missouri State,2,0,2,NA,NA,0,526.3070414802077
162,Southeastern Louisiana,1,0,1,NA,NA,0,179.26541073993502
163,Southern Methodist,12,0,12,NA,NA,0,637.7059011381058
164,Southern Utah,1,0,1,NA,NA,0,185.9689220652091
165,Tennessee Tech,2,0,2,NA,NA,0,698.702278811299
166,Tennessee-Martin,1,0,1,NA,NA,0,167.63247381811257
167,Texas State,2,0,2,NA,NA,0,676.3294187078204
168,Virginia Military Institute,1,0,1,NA,NA,0,180.38375278806626
169,Weber State,1,0,1,NA,NA,0,180.76211263440345
170,Western Carolina,2,0,2,NA,NA,0,683.3172561767648
171,Western Kentucky,1,0,1,NA,NA,0,179.71452764070563
172,Western New Mexico,1,0,1,NA,NA,0,169.84128440442478
173,William & Mary,1,0,1,NA,NA,0,178.7777326005459
174,Wofford,1,0,1,NA,NA,0,179.29434985008004
175,Youngstown State,1,0,1,NA,NA,0,183.49778713314197
