rank,team,games,wins,losses,best_win_name,best_win_rating,resume_score,team_elo
207,South Dakota,1,0,1,NA,0,0,181.3163818166681
208,Southeast Missouri State,1,0,1,NA,0,0,180.17389403699033
209,Southeastern Louisiana,2,0,2,NA,0,0,679.0551881519191
210,Southern Utah,2,0,2,NA,0,0,701.3000860764377
211,St. Francis (PA),1,0,1,NA,0,0,179.8640196388287
212,Stephen F. Austin,1,0,1,NA,0,0,181.85713807168523
213,Stony Brook,1,0,1,NA,0,0,178.779151936503
214,Tarleton State,1,0,1,NA,0,0,179.3921726364998
215,Tennessee State,1,0,1,NA,0,0,181.08583460070486
216,Tennessee Tech,1,0,1,NA,0,0,176.09375713402974
217,Tennessee-Martin,1,0,1,NA,0,0,180.45439700025557
218,Texas A&M-Commerce,1,0,1,NA,0,0,185.92546539140628
219,Texas Southern,2,0,2,NA,0,0,663.6944054600015
220,Towson,1,0,1,NA,0,0,180.66509836430967
221,Utah Tech,1,0,1,NA,0,0,179.1070112011442
222,Villanova,1,0,1,NA,0,0,181.68554353601692
223,Virginia Military Institute,1,0,1,NA,0,0,180.38995301379626
224,Wagner,2,0,2,NA,0,0,676.4733125444806
225,Weber State,1,0,1,NA,0,0,182.27381346317213
226,Western Carolina,1,0,1,NA,0,0,178.74682629814671
227,Western Illinois,1,0,1,NA,0,0,179.15729356728383
228,William & Mary,1,0,1,NA,0,0,179.21133732299683
229,Wofford,1,0,1,NA,0,0,179.0855759249208
230,Youngstown State,1,0,1,NA,0,0,181.92844564562293
