team,proj_record,current_sos,current_rank,remaining_sos,remaining_rank,total_sos,total_rank
Portland St,19.84-9.16,1368.44,279,1520.67,193,1444.56,225
Wright St,19.84-11.16,1452.73,205,1521.25,191,1486.99,193
South Alabama,21.76-9.24,1333.43,314,1144.72,336,1239.07,335
Saint Joseph's,18.5-12.5,1512.14,156,1744.04,109,1628.09,122
Iona,18.36-12.64,1415.13,236,1199.78,319,1307.45,307
Charleston,19.98-11.02,1526.51,144,1575.93,163,1551.22,150
Toledo,15.99-15.01,1537.99,140,1703.56,119,1620.77,125
UNLV,14.48-16.52,1717.94,87,2025.53,57,1871.73,79
Austin Peay,22.55-6.45,1383.4,269,1388.37,258,1385.89,267
Temple,16.73-14.27,1566.4,128,1694.3,123,1630.35,120
UMass,16.91-14.09,1470.39,194,1438.59,240,1454.49,214
Oakland,16.61-14.39,1664.9,99,1254.96,311,1459.93,206
N Colorado,19.97-11.03,1349.87,303,1453.06,234,1401.46,258
Oregon St,15.8-15.2,1705.09,91,1812.92,98,1759.01,94
Tulane,17.85-13.15,1570.94,125,1745.49,108,1658.22,114
Robert Morris,20.15-10.85,1329.24,316,1377.16,269,1353.2,287
Towson,16.52-14.48,1526.24,145,1483.29,218,1504.77,181
S Illinois,15.61-15.39,1530.77,143,1306.99,295,1418.88,243
Georgia Tech,11.47-19.53,1776.11,77,1995.88,66,1885.99,73
Marist,18.59-10.41,1305.68,330,1387.38,261,1346.53,290
Tarleton St,14.83-16.17,1326.22,317,1779.32,104,1552.77,148
Furman,19.67-11.33,1340.32,311,1197.61,320,1268.97,326
Montana St,17.19-13.81,1423.08,226,1383,264,1403.04,256
Valparaiso,17.45-13.55,1504.67,158,1386.64,262,1445.66,223
Long Island,20.93-10.07,1406.08,245,1015.02,358,1210.55,346
UT Martin,21.67-9.33,1258.77,354,1315.83,289,1287.3,317
Lipscomb,19.49-11.51,1489.23,173,1305,296,1397.12,260
Portland,12.76-18.24,1599.97,114,1978.14,72,1789.05,90
