rank,team,rating,record,best_win,best_win_elo
181,Saint Joseph's,1568.6,11-8,Richmond,1828.3
182,N Colorado,1566.4,11-9,Colorado,2003.2
183,Campbell,1565.7,9-10,UT Arlington,1706.1
184,Valparaiso,1556.8,9-10,Northern Iowa,1808.3
185,Long Island,1555,11-8,Missouri St,1519.2
186,S Illinois,1550.9,8-11,Belmont,2031.5
187,FIU,1550.6,9-9,New Mexico St,1725.5
188,Queens,1545.1,11-8,FGCU,1502.5
189,Austin Peay,1545,12-7,ETSU,1660.7
190,Wofford,1543.6,13-7,Furman,1602.7
191,Drake,1541,9-10,Georgia Tech,1661.9
192,Colgate,1538.6,11-8,Siena,1532.5
193,Idaho,1538.4,11-7,Washington St,1630.4
194,Idaho St,1534.2,10-9,Idaho,1538.4
195,Siena,1532.5,13-7,American,1522.6
196,E Michigan,1526.4,9-10,Cincinnati,1945.4
197,Texas A&M-CC,1526.2,10-9,UT Rio Grande,1454.6
198,American,1522.6,11-8,Penn,1612.3
199,Missouri St,1519.2,10-8,New Mexico St,1725.5
200,Montana,1510.4,10-9,UNLV,1649.5
201,Green Bay,1507.7,11-9,Santa Barbara,1652.1
202,Utah Tech,1507,10-10,Tarleton St,1697.1
203,Vermont,1506.5,11-8,Siena,1532.5
204,S Dakota St,1505,10-10,Merrimack,1499.9
205,FGCU,1502.5,8-11,Samford,1376.3
206,Weber St,1501.8,10-9,N Colorado,1566.4
207,UIC,1501.3,10-10,Northern Iowa,1808.3
208,Navy,1500.4,13-6,Presbyterian,1285
209,Merrimack,1499.9,12-8,Quinnipiac,1694.4
210,San José St,1498.9,6-13,San Diego,1437.3
211,Saint Peter's,1491.1,11-6,Quinnipiac,1694.4
212,CSU Northridge,1491,11-9,UC San Diego,1896.5
213,Southern Miss,1488.9,11-9,UT Martin,1578.7
214,Fullerton,1487.4,8-12,UC San Diego,1896.5
215,La Salle,1484.3,7-13,Dayton,1907.8
216,UT Rio Grande,1454.6,8-11,McNeese,2003.6
217,Stony Brook,1452.8,11-9,Hofstra,1747.5
218,New Orleans,1450.8,7-12,TCU,2074.7
219,Tennessee St,1450.8,12-6,UNLV,1649.5
220,Abilene Chrstn,1447.3,10-9,Utah Valley,1854.2
221,Fordham,1444.2,10-9,St Bonaventure,1796.7
222,Purdue FW,1439.1,12-8,Notre Dame,1962.1
223,Alabama A&M,1438.5,10-8,Tennessee St,1450.8
224,San Diego,1437.3,8-12,UC San Diego,1896.5
225,Lindenwood,1437.2,11-8,Charleston So,1380.9
226,Jax State,1436.7,9-9,ETSU,1660.7
227,UNC Asheville,1432.1,9-12,Lipscomb,1606.9
228,Milwaukee,1428.4,8-12,Robert Morris,1585.4
229,App State,1426.5,11-9,High Point,1738.3
230,Harvard,1426,10-8,Penn,1612.3
231,W Michigan,1424.6,7-12,E Michigan,1526.4
232,Fairfield,1423.6,11-9,Monmouth,1408.7
233,Coastal,1421.9,11-9,Marshall,1737.6
234,Texas St,1418.3,11-9,South Alabama,1572
235,Indiana St,1416.2,9-10,Belmont,2031.5
236,Cornell,1415.9,8-9,Colgate,1538.6
237,Monmouth,1408.7,9-10,William & Mary,1715.8
238,UC Riverside,1408.6,7-12,Fullerton,1487.4
239,GA Southern,1407.8,13-7,FGCU,1502.5
240,Long Beach St,1406.4,8-11,CSU Northridge,1491
241,Drexel,1402.5,9-11,William & Mary,1715.8
242,Youngstown St,1401.1,9-11,Grand Canyon,1833.2
243,South Dakota,1400,10-10,W Michigan,1424.6
244,Nicholls,1398.8,8-11,Texas A&M-CC,1526.2
245,Louisiana Tech,1397.7,10-8,MTSU,1777.7
246,Lamar,1397.5,10-9,Montana,1510.4
247,Northeastern,1396.1,6-12,Duquesne,1611
248,C Arkansas,1396,9-10,FGCU,1502.5
249,James Madison,1394.4,9-10,Arkansas St,1738.9
250,Dartmouth,1389.3,9-8,Saint Peter's,1491.1
251,C Connecticut,1385.2,10-7,Rutgers,1677.6
252,Incarnate Word,1384,9-10,McNeese,2003.6
253,Charleston So,1380.9,11-9,Richmond,1828.3
254,Bethune,1380.6,7-11,Ohio,1600.4
255,Samford,1376.3,9-11,Cornell,1415.9
256,Rice,1376.3,8-10,Wichita St,1743.3
257,Princeton,1371,6-13,Yale,1906.3
258,Pepperdine,1357.7,6-14,Portland,1616.3
259,SE Missouri,1346.1,10-10,UT Martin,1578.7
