rank,team,league,elo,wins,draws,losses,best_win_name,best_win_elo
55,Arouca,POR,1549.7555435057652,13,15,6,Porto,1583.4326461051096
56,Ath Bilbao,ESP,1548.1038649117472,18,8,12,Celta,1546.5736444400886
57,Sheffield Weds,ENG2,1547.834552173706,19,17,10,Birmingham,1536.140321881635
58,Metz,FRA2,1546.9380128862488,19,8,11,Dijon,1576.6731724490483
59,Man City,ENG,1546.5783365275818,19,9,10,Crystal Palace,1519.1781324030762
60,Spezia,ITA2,1545.6275278826588,17,15,10,Cagliari,1583.3104813209013
61,Cesena,ITA2,1545.2530382811235,19,11,12,Cagliari,1607.9613724411047
62,Sassuolo,ITA,1543.3160817509688,16,13,9,Inter,1568.9624483085493
63,Sp Braga,POR,1543.0349601104951,16,10,8,Porto,1595.3964005927317
64,Inter,ITA,1540.790072745597,20,7,11,Napoli,1613.1469404318689
65,Liverpool,ENG,1538.962271879059,16,12,10,Leicester,1582.4479885540995
66,Bari,ITA2,1535.6688693103085,19,11,12,Novara,1546.794805892798
67,Fiorentina,ITA,1535.010475778639,18,10,10,Inter,1547.2139709368294
68,M'gladbach,GER,1534.9125935963978,17,4,13,Bayern Munich,1608.9908581647685
69,Villarreal,ESP,1530.402641615505,18,10,10,Real Madrid,1557.2799596838695
70,Virtus Entella,ITA2,1529.9781819330062,17,13,12,Novara,1534.2777006886924
71,Lens,FRA2,1529.7887778438715,15,13,10,Metz,1557.4791876511372
72,Rochdale,ENG3,1527.88192168521,19,12,15,Burton,1581.779092830059
73,Novara,ITA2,1527.411990665498,19,10,13,Cagliari,1596.2624888557557
74,Utrecht,NED,1526.9157516347475,15,8,11,Ajax,1588.4706013498778
75,Zaragoza,ESP2,1526.8076977171577,17,13,12,Leganes,1560.170389079214
76,Celta,ESP,1526.4918016046363,17,9,12,Barcelona,1538.5744328186986
77,Alcorcon,ESP2,1526.0627422653286,18,10,14,Leganes,1563.2670290380424
78,Union Berlin,GER2,1525.5034347798196,13,10,11,Freiburg,1615.1805757396542
79,Ipswich,ENG2,1523.101168527147,18,15,13,Brighton,1566.2229840717441
80,Osasuna,ESP2,1522.916637145582,17,13,12,Alaves,1546.692273277577
81,Cardiff,ENG2,1520.1566281172788,17,17,12,Brighton,1563.0389892135402
82,Schalke 04,GER,1519.5578286751843,15,7,12,M'gladbach,1524.8055865372357
83,Cordoba,ESP2,1518.4463106677824,19,8,15,Girona,1549.4722970309153
84,St Etienne,FRA,1517.4930691875934,17,7,14,Angers,1540.197503959038
85,Clermont,FRA2,1516.8200647553144,16,10,12,Le Havre,1533.2700821079102
86,Groningen,NED,1516.6524088890476,14,8,12,Heracles,1519.0556715894095
87,Bochum,GER2,1516.4945052764738,13,12,9,Freiburg,1557.2401343519946
88,Milan,ITA,1515.9198521179558,15,12,11,Inter,1552.5814757149546
89,Karlsruhe,GER2,1515.655890254331,12,11,11,Nurnberg,1581.8971245611103
90,St Pauli,GER2,1515.5484395945518,15,8,11,RB Leipzig,1586.7544949595676
91,Numancia,ESP2,1514.1026271165704,13,18,11,Lugo,1522.2506810011132
92,Auxerre,FRA2,1513.6871877940464,15,10,13,Dijon,1588.4433451295065
93,Chelsea,ENG,1513.227823599301,12,14,12,Arsenal,1565.3651092850357
94,Rio Ave,POR,1511.4281895439976,14,8,12,Pacos Ferreira,1518.9787145296893
95,Mainz,GER,1509.8572794034335,14,8,12,Bayern Munich,1637.5749721945876
96,Nimes,FRA2,1509.662967366345,13,12,13,Dijon,1588.1239728664746
97,Pacos Ferreira,POR,1509.444505534556,13,10,11,Porto,1582.5226343192599
98,Huesca,ESP2,1509.2868509733282,14,13,15,Leganes,1563.2187449952173
99,Heracles,NED,1509.2211908626591,14,9,11,PSV Eindhoven,1527.7155132952514
100,Preston,ENG2,1508.973418485109,15,17,14,Sheffield Weds,1561.1764172693427
101,Sheffield United,ENG3,1508.4250817918457,18,12,16,Walsall,1564.6537615985433
102,Lazio,ITA,1508.1948696041127,15,9,14,Inter,1572.720197255298
103,Coventry,ENG3,1507.6517213349189,19,12,15,Bradford,1562.8627549446937
104,QPR,ENG2,1506.5245037321506,14,18,14,Derby,1547.336423622853
105,Brentford,ENG2,1505.7083151886288,19,8,19,Cardiff,1535.2622782444341
106,Port Vale,ENG3,1505.3696054192721,18,11,17,Rochdale,1531.8703748864743
107,Bielefeld,GER2,1504.2160609285631,8,18,8,Union Berlin,1523.614337155585
108,Estoril,POR,1503.5733804836425,13,8,13,Rio Ave,1514.7613569090765
109,Elche,ESP2,1502.9952478467126,13,18,11,Cordoba,1548.8593464922835
110,Hertha,GER,1499.9553100049627,14,8,12,Schalke 04,1527.4028075544186
111,Marseille,FRA,1498.9025768719687,10,18,10,St Etienne,1515.4239494725248
112,Leeds,ENG2,1498.867944647371,14,17,15,Hull,1556.905174355744
113,Bordeaux,FRA,1497.9898828892997,12,14,12,Monaco,1573.446171101687
114,Tenerife,ESP2,1497.5915475912634,13,16,13,Leganes,1581.2352642887527
115,Zwolle,NED,1497.2557497668452,14,6,14,Feyenoord,1509.5015536228016
116,Heidenheim,GER2,1497.1016514774346,11,12,11,St Pauli,1540.3602315021512
117,Den Haag,NED,1496.7972079632832,10,13,11,Feyenoord,1559.0685228736013
118,Braunschweig,GER2,1496.6579488513526,12,10,12,Nurnberg,1578.4753191528207
119,Swansea,ENG,1496.083942799141,12,11,15,West Ham,1564.7750022836801
120,Malaga,ESP,1495.5847401614578,12,12,14,Ath Madrid,1577.9862722377359
121,Montpellier,FRA,1495.497334451924,14,7,17,Lyon,1532.954004931774
122,Caen,FRA,1494.6105021509793,16,6,16,Nice,1536.3989938236457
123,Twente,NED,1494.4887350755912,12,7,15,Heracles,1528.2391096648191
124,Kaiserslautern,GER2,1494.33814421898,12,9,13,RB Leipzig,1552.3206623840197
125,Birmingham,ENG2,1494.2110510382997,16,15,15,Hull,1578.1628985701043
126,Rennes,FRA,1494.1465211798854,13,13,12,Angers,1531.7222360016951
127,Chievo,ITA,1494.002238641934,13,11,14,Torino,1529.115082608124
128,Gillingham,ENG3,1493.5992229020512,19,12,15,Bury,1530.8062034045213
129,FC Koln,GER,1493.541101046581,10,13,11,Dortmund,1578.6230002182372
130,Wolves,ENG2,1491.121040991306,14,16,16,Sheffield Weds,1559.4844995467001
131,Bastia,FRA,1490.8502475112325,14,8,16,Caen,1524.4438020530758
132,Vitesse,NED,1490.566681050261,12,10,12,Zwolle,1533.8243571941077
133,Almeria,ESP2,1490.3743701593373,10,18,14,Girona,1523.2158646289945
134,Stoke,ENG,1490.3150052218157,14,9,15,West Ham,1562.5891481638503
135,Sociedad,ESP,1490.2476137204899,13,9,16,Barcelona,1642.1615224760453
136,Swindon,ENG3,1490.1183608602491,16,11,19,Walsall,1550.0810636400038
137,Greuther Furth,GER2,1488.6919794908663,13,7,14,Braunschweig,1519.6168413537387
138,Perugia,ITA2,1488.4107586726861,14,13,15,Crotone,1598.6848604457477
139,Oldham,ENG3,1486.422210107304,12,18,16,Gillingham,1559.4364301687704
140,Sochaux,FRA2,1486.2720721881365,9,15,14,Le Havre,1539.0582013544524
141,Oviedo,ESP2,1485.1055633984893,16,11,15,Elche,1521.665357590964
142,Ternana,ITA2,1484.0999793941742,15,8,19,Novara,1530.8922150615033
143,Peterboro,ENG3,1483.7794608806942,19,6,21,Sheffield United,1521.3084896285015
144,Sevilla,ESP,1483.1553799240096,14,10,14,Villarreal,1565.526951132836
145,Niort,FRA2,1483.0623455857617,8,18,12,Red Star,1550.3513965846084
146,Wolfsburg,GER,1482.2061260249416,12,9,13,M'gladbach,1527.3775646922688
147,Heerenveen,NED,1481.9910644161941,11,9,14,AZ Alkmaar,1541.7478559036556
148,Blackburn,ENG2,1481.088052692487,13,16,17,Middlesbrough,1583.8507955909977
149,Laval,FRA2,1480.9739076985056,9,17,12,Creteil,1517.0422734871959
150,Belenenses,POR,1480.7930973860598,10,11,13,Sp Braga,1567.4366466097092
151,Valenciennes,FRA2,1480.2416404402315,10,14,14,Nancy,1589.6464219087604
152,Tours,FRA2,1480.137368149809,11,14,13,Dijon,1552.0352629246008
153,Bury,ENG3,1479.6081035866525,16,12,18,Burton,1542.6066004282277
154,Nijmegen,NED,1479.4785008049098,13,7,14,Feyenoord,1570.0732898385604
155,Mallorca,ESP2,1478.506704789536,12,13,17,Leganes,1566.7604815222753
156,Vicenza,ITA2,1478.3364936340433,11,16,15,Virtus Entella,1541.7820647762371
157,Nantes,FRA,1477.8853572677401,12,12,14,Nice,1547.5016682749376
158,Betis,ESP,1477.7297333722772,11,12,15,Sociedad,1500
159,Guimaraes,POR,1477.643029751512,9,13,12,Porto,1580.9599659879595
160,Everton,ENG,1476.649535937707,11,14,13,Stoke,1503.2493393205139
161,Lugo,ESP2,1476.5433867676368,13,15,14,Gimnastic,1522.4850589128903
162,Atalanta,ITA,1476.357462744768,11,12,15,Roma,1550.104103018897
163,Nott'm Forest,ENG2,1475.7771854024872,13,16,17,Middlesbrough,1589.1062122244955
164,Augsburg,GER,1475.3350191241732,9,11,14,Schalke 04,1516.82144300257
165,Genoa,ITA,1474.6636531752956,13,7,18,Inter,1559.6595314635583
166,Angers,FRA,1474.242264258523,13,11,14,Monaco,1555.7905798116751
167,Bristol City,ENG2,1473.5203998986815,13,13,20,Middlesbrough,1602.8677351989568
168,Valladolid,ESP2,1473.275663228779,12,15,15,Cordoba,1543.3383408707527
169,Salernitana,ITA2,1472.731388948575,9,18,15,Brescia,1553.0296256722575
170,Lorient,FRA,1472.704588384908,11,13,14,Angers,1518.9072322615714
171,Brest,FRA2,1472.3540947095087,12,11,15,Creteil,1506.8275532762536
172,Sunderland,ENG,1472.2350568024442,9,12,17,Man United,1528.860531960071
173,Bourg Peronnas,FRA2,1471.878785925467,13,8,17,Nancy,1571.6717827751047
174,Las Palmas,ESP,1471.8178441477905,12,8,18,Villarreal,1578.8686060178939
175,Hoffenheim,GER,1471.3086459453884,9,10,15,Hertha,1538.0981982320634
176,Toulouse,FRA,1470.8966897116525,9,13,16,Nice,1528.3297937493455
177,Hamburg,GER,1470.7327177435043,11,8,15,Dortmund,1567.7282830033366
178,Guingamp,FRA,1470.4115256420744,11,11,16,Rennes,1532.4815731091815
179,Virtus Lanciano,ITA2,1470.1895984800624,12,12,18,Cesena,1533.0253995028545
180,Brescia,ITA2,1469.3772390089348,14,12,16,Crotone,1596.2726283226004
181,Werder Bremen,GER,1468.6893402069627,10,8,16,Leverkusen,1516.426486327071
182,Empoli,ITA,1467.9835617048225,12,10,16,Fiorentina,1550.604840160788
183,Ajaccio,FRA2,1467.865715358628,9,15,14,Nancy,1573.360684769386
184,Ingolstadt,GER,1466.7700375093627,10,10,14,Schalke 04,1527.8401418358148
185,Fleetwood Town,ENG3,1466.7299491837364,12,15,19,Burton,1539.6390138203876
186,Duisburg,GER2,1466.6837947457013,7,11,16,Nurnberg,1595.7012583183778
187,Darmstadt,GER,1466.6692828536143,9,11,14,Hertha,1511.0016197756763
188,Nacional,POR,1465.3824300704664,10,8,16,Uniao Madeira,1509.5
189,Latina,ITA2,1464.628896464379,10,16,16,Novara,1554.3259016386842
190,Southend,ENG3,1464.446245944527,16,11,19,Burton,1583.8750359976395
191,West Brom,ENG,1464.3983268967825,10,13,15,Arsenal,1556.0532745545268
192,Mirandes,ESP2,1463.9091811887056,13,13,16,Cordoba,1537.99572605659
193,Carpi,ITA,1463.80954376505,9,11,18,Torino,1527.961093007041
194,Sandhausen,GER2,1463.323046576475,12,7,15,RB Leipzig,1596.597414448541
195,Torino,ITA,1463.0077965501089,12,9,17,Inter,1553.7184928114682
196,Fulham,ENG2,1462.6174021165555,12,15,19,Cardiff,1547.5683073568835
197,Pro Vercelli,ITA2,1462.5062248977192,11,13,18,Pescara,1537.5220819994477
198,Espanol,ESP,1462.0477752829831,12,7,19,Ath Bilbao,1539.5709878868531
199,Rotherham,ENG2,1462.013202127512,13,10,23,Middlesbrough,1578.711873720133
200,La Coruna,ESP,1461.3566196152494,8,18,12,Villarreal,1556.0819585052047
201,Valencia,ESP,1460.6992902288123,11,11,16,Barcelona,1627.886465617788
202,Moreirense,POR,1460.6164686910681,9,9,16,Rio Ave,1524.5221020488111
203,Llagostera,ESP2,1460.608822897714,12,8,22,Zaragoza,1538.7153427064845
204,Ein Frankfurt,GER,1460.151344892149,9,9,16,Dortmund,1641.7709769917901
205,Granada,ESP,1459.9124446967576,10,9,19,Sevilla,1523.7583284448945
206,Chesterfield,ENG3,1459.6006285451813,15,8,23,Gillingham,1547.6345272889478
207,Ascoli,ITA2,1459.0677531586741,13,8,21,Cagliari,1572.5815791896496
208,Huddersfield,ENG2,1457.4409990736083,13,12,21,Nott'm Forest,1525.4149004813487
209,Bologna,ITA,1457.4187228054273,11,9,18,Napoli,1571.7155480406407
210,Ponferradina,ESP2,1456.9294712132214,12,11,19,Osasuna,1519.2485802697433
211,Munich 1860,GER2,1456.2621789824207,8,10,16,St Pauli,1539.7364532257254
212,Bournemouth,ENG,1456.07396813265,11,9,18,Man United,1551.6003869381716
213,Sp Gijon,ESP,1455.682044503115,10,9,19,Ath Madrid,1625.036025223687
214,Avellino,ITA2,1454.5099899989016,13,10,19,Cesena,1520.8701338181875
215,Watford,ENG,1454.2289196533325,12,9,17,West Ham,1537.2687065086307
216,Fortuna Dusseldorf,GER2,1453.072038641834,9,8,17,Freiburg,1546.3284188665991
217,Shrewsbury,ENG3,1452.0701359210468,13,11,22,Burton,1586.630222076557
218,Boavista,POR,1451.3506078081814,8,9,17,Pacos Ferreira,1514.2509328832696
219,Vallecano,ESP,1450.795285554665,9,11,18,Villarreal,1571.4048057076611
220,Evian Thonon Gaillard,FRA2,1450.6495369325078,9,12,17,Dijon,1541.0470257813968
221,Newcastle,ENG,1449.03947332872,9,10,19,Tottenham,1588.6354343709475
222,Palermo,ITA,1447.771911035077,10,9,19,Udinese,1510
223,Tondela,POR,1445.8136718123217,8,6,20,Porto,1597.0394365062855
224,Sampdoria,ITA,1443.1650986018037,10,10,18,Roma,1518.8593584317557
225,Crystal Palace,ENG,1442.83081208446,11,9,18,Liverpool,1517.3916628036989
226,Reading,ENG2,1441.564031044387,13,13,20,Middlesbrough,1544.3132962669358
227,Ajaccio GFCO,FRA,1441.054390291266,8,13,17,Nice,1532.1058302245422
228,Udinese,ITA,1440.6335038784118,10,9,19,Napoli,1622.5792348870646
229,Modena,ITA2,1439.9022793986142,11,9,22,Novara,1566.5045893074391
230,Eibar,ESP,1438.7904604859473,11,10,17,Granada,1500
231,Roda,NED,1438.4527095156188,8,10,16,Utrecht,1538.5923865538848
232,Maritimo,POR,1438.3620586504057,10,5,19,Rio Ave,1535.2382374150698
233,Reims,FRA,1435.969600338826,10,9,19,Lyon,1576.1762711831143
234,Livorno,ITA2,1433.5145432600843,10,12,20,Brescia,1540.772447879836
235,Blackpool,ENG3,1431.7656713161964,12,10,24,Gillingham,1564.7926513890138
236,Doncaster,ENG3,1431.5657049120705,11,13,22,Wigan,1609.5475799228502
237,Stuttgart,GER,1429.9827143073887,9,6,19,Hertha,1543.288606481155
238,Getafe,ESP,1429.8080613894626,9,9,20,Villarreal,1523.6303293793703
239,Excelsior,NED,1429.2053850200984,7,9,18,Nijmegen,1509.527347646976
240,Willem II,NED,1427.4487781714347,6,11,17,Vitesse,1518.0375177692201
241,Paris FC,FRA2,1425.661089682212,4,18,16,Red Star,1555.1014099656607
242,Como,ITA2,1425.6070082843994,5,18,19,Spezia,1561.2063761693692
243,Paderborn,GER2,1425.0924357693602,6,10,18,St Pauli,1529.7490672526349
244,Frankfurt FSV,GER2,1424.4724939836399,8,8,18,St Pauli,1535.8162345658677
245,Charlton,ENG2,1421.8795476775676,9,13,24,Middlesbrough,1565.4679165109949
246,Setubal,POR,1420.4269808992353,6,12,16,Estoril,1518.9401568306635
247,Creteil,FRA2,1420.3547117152486,8,10,20,Evian Thonon Gaillard,1520.5482455105578
248,Colchester,ENG3,1419.8908559509816,9,13,24,Gillingham,1540.6560999520182
249,Levante,ESP,1417.8868015655173,8,8,22,Ath Madrid,1646.0241836640407
250,Graafschap,NED,1416.8481019339604,5,8,21,Utrecht,1540.219751787904
251,Albacete,ESP2,1415.7147946580217,10,9,23,Cordoba,1535.9592606660294
252,Verona,ITA,1415.3002413590525,5,13,20,Juventus,1674.9874157886313
253,Uniao Madeira,POR,1415.1611676506573,7,8,19,Sp Lisbon,1590.3661479811256
254,Norwich,ENG,1411.7907367971302,9,7,22,Man United,1539.0096495022958
255,Academica,POR,1410.611499507172,5,10,19,Guimaraes,1522.4412287045102
256,Frosinone,ITA,1404.764296758357,8,7,23,Empoli,1511.7709916920915
257,Milton Keynes Dons,ENG2,1403.820823873726,9,12,25,Derby,1547.647846195945
258,Hannover,GER,1401.250146448947,7,4,23,FC Koln,1518.1642018644761
259,Ath Bilbao B,ESP2,1396.0860846778996,8,8,26,Oviedo,1530.5932745080818
260,Crewe,ENG3,1390.9019092515034,7,13,26,Sheffield United,1513.0048608197537
261,Bolton,ENG2,1376.20690075762,5,15,26,Hull,1568.6553919863663
262,Cambuur,NED,1371.943411104644,3,9,22,Nijmegen,1514.9689115416006
263,Troyes,FRA,1355.753304997468,3,9,26,Lille,1493.5086233161999
264,Aston Villa,ENG,1346.7785514743055,3,8,27,Crystal Palace,1513.3396111209497
