rank,team,league,elo,wins,draws,losses,best_win_name,best_win_elo
85,RB Leipzig,GER,1520.9786000638583,15,8,11,Bayern Munich,1637.8045680773394
86,Fiorentina,ITA,1520.0070223994448,16,9,13,Napoli,1650.8337723454656
87,Bordeaux,FRA,1519.474054713486,16,7,15,Lyon,1596.7754537687822
88,Sevilla,ESP,1518.6977589308497,17,7,14,Real Madrid,1608.1273710863636
89,Numancia,ESP2,1517.9389519794688,18,11,13,Cadiz,1560.8892213149827
90,Bochum,GER2,1517.8790733584658,13,9,12,Fortuna Dusseldorf,1552.5273411537846
91,Getafe,ESP,1516.9393618901381,15,10,13,Valencia,1584.3522436184212
92,Foggia,ITA2,1513.813810586729,16,10,16,Palermo,1556.8577980238124
93,Tenerife,ESP2,1512.5354635633182,15,14,13,Sp Gijon,1559.8610464222347
94,Perugia,ITA2,1511.721507385246,16,12,14,Frosinone,1569.4489149318158
95,Bielefeld,GER2,1510.7856073396051,12,12,10,Nurnberg,1546.4994031762988
96,Nice,FRA,1509.9688713609141,15,9,14,Monaco,1538.0397482420406
97,Southend,ENG3,1509.7852466792829,17,12,17,Wigan,1606.4474731270686
98,Duisburg,GER2,1509.695418409321,13,9,12,Bielefeld,1526.9856134820095
99,Rio Ave,POR,1507.4804427424745,15,6,13,Sp Braga,1619.836512070581
100,Montpellier,FRA,1506.7579913035302,11,18,9,St Etienne,1522.76142679973
101,Sheffield United,ENG2,1506.103725087815,20,9,17,Wolves,1542.6817193561492
102,Den Haag,NED,1504.9978921926813,13,8,13,Zwolle,1557.7177755549833
103,Chaves,POR,1504.806262473482,13,8,13,Maritimo,1528.7372449375123
104,Darmstadt,GER2,1504.6334284127759,10,13,11,Fortuna Dusseldorf,1564.8036232037614
105,Regensburg,GER2,1503.8909238946403,14,6,14,Fortuna Dusseldorf,1549.6916003537208
106,Vitesse,NED,1503.2664674638456,13,10,11,Ajax,1608.6525405273653
107,Werder Bremen,GER,1503.0851222254528,10,12,12,Ein Frankfurt,1538.1192814444817
108,Union Berlin,GER2,1503.0348243036074,12,11,11,Fortuna Dusseldorf,1563.2531863655702
109,Ein Frankfurt,GER,1500.2685118373568,14,7,13,RB Leipzig,1537.4211048088562
110,Espanol,ESP,1500.12754021613,12,13,13,Ath Madrid,1610.1912506998594
111,Cesena,ITA2,1499.7172988466596,11,17,14,Parma,1556.1214553409807
112,Granada,ESP2,1498.3678004887254,17,10,15,Huesca,1553.220404014656
113,Burnley,ENG,1498.1962836597868,14,12,12,Newcastle,1508.789881296825
114,Eibar,ESP,1498.1826772548254,14,9,15,Valencia,1575.180125048564
115,Blackpool,ENG3,1497.9443810701284,15,15,16,Wigan,1594.3196609068477
116,Heerenveen,NED,1497.4319040138553,12,10,12,PSV Eindhoven,1526.9741330513136
117,Bristol City,ENG2,1496.9793689193148,17,16,13,Cardiff,1553.3265692931304
118,Portsmouth,ENG3,1496.36374548097,20,6,20,Wigan,1609.2680673325174
119,Cordoba,ESP2,1495.562902387839,15,6,21,Vallecano,1605.8787381758032
120,Levante,ESP,1494.9891081463218,11,13,14,Barcelona,1669.371281864355
121,Maritimo,POR,1494.8232583566046,13,8,13,Sp Lisbon,1630.966384768026
122,M'gladbach,GER,1494.739153966704,13,8,13,Bayern Munich,1571.5468099517177
123,Peterboro,ENG3,1493.7057935002745,17,13,16,Shrewsbury,1580.2150993279529
124,Sheffield Weds,ENG2,1493.6964379499548,14,15,17,Derby,1576.9344514690688
125,Boavista,POR,1493.3672837080294,13,6,15,Benfica,1535.7390849865194
126,Alcorcon,ESP2,1492.9290326802034,12,16,14,Vallecano,1592.3936736313108
127,Norwich,ENG2,1492.6896843018972,15,15,16,Aston Villa,1569.4732229823403
128,Bristol Rvs,ENG3,1491.7200596089222,16,11,19,Blackpool,1534.0282284862558
129,Sochaux,FRA2,1491.1978597498683,15,8,15,Nimes,1581.4222070909962
130,Crystal Palace,ENG,1490.9329957366467,11,11,16,Leicester,1524.912212765029
131,Celta,ESP,1490.23205246323,13,10,15,Eibar,1519.041531891669
132,Nantes,FRA,1489.887930538765,14,10,14,Monaco,1547.0035909236365
133,Ingolstadt,GER2,1489.0017325552476,12,9,13,Fortuna Dusseldorf,1562.9952721191282
134,Everton,ENG,1488.9262949731105,13,10,15,Leicester,1515.2756293808748
135,Gillingham,ENG3,1488.2232938642394,13,17,16,Scunthorpe,1564.5098826054777
136,Girona,ESP,1485.9891578659835,14,9,15,Real Madrid,1544.8464503196965
137,Doncaster,ENG3,1485.2619562580542,13,17,16,Southend,1510.677515704846
138,Hertha,GER,1484.9105304260625,10,13,11,Leverkusen,1544.632924436717
139,Greuther Furth,GER2,1484.6565974825035,10,10,14,Nurnberg,1557.9851043028323
140,Groningen,NED,1484.616024192636,8,14,12,Vitesse,1526.0952352255892
141,Dijon,FRA,1483.8424836660574,13,9,16,Nantes,1538.4594828971185
142,Salernitana,ITA2,1483.4642621991613,11,18,13,Empoli,1525.910300460769
143,Sampdoria,ITA,1482.5798338791137,16,6,16,Juventus,1573.2398991596126
144,Heidenheim,GER2,1482.2550745088784,11,9,14,Union Berlin,1541.991416818534
145,St Pauli,GER2,1482.170892606468,11,10,13,Holstein Kiel,1527.085271942466
146,Sociedad,ESP,1481.796152752147,14,7,17,Ath Madrid,1619.2338093182295
147,Rochdale,ENG3,1481.7650358921414,11,18,17,Shrewsbury,1594.1471423468086
148,Heracles,NED,1481.7135570585738,11,9,14,Zwolle,1526.3606927875712
149,Reus Deportiu,ESP2,1481.0350791299638,12,16,14,Cadiz,1547.813246981945
150,Gimnastic,ESP2,1480.5789463908545,15,7,20,Vallecano,1586.4825564343398
151,Amiens,FRA,1480.073544714724,12,9,17,Bordeaux,1528.024998491578
152,Spezia,ITA2,1479.8926342721766,13,14,15,Cittadella,1529.8861832368523
153,Sassuolo,ITA,1479.8846110245797,11,10,17,Inter,1584.0371076787774
154,Guingamp,FRA,1479.8472063376553,12,11,15,Monaco,1607.5957300198813
155,Bournemouth,ENG,1479.3136287691461,11,11,16,Chelsea,1578.990849391758
156,Alaves,ESP,1479.159933432844,15,2,21,Villarreal,1531.5174677221798
157,Bradford,ENG3,1478.5526886908017,18,9,19,Wigan,1567.9129331195352
158,Carpi,ITA2,1478.483397826676,12,16,14,Parma,1527.4006920416175
159,AFC Wimbledon,ENG3,1478.140301800752,13,14,19,Bradford,1549.8249065176326
160,Sandhausen,GER2,1478.1070399803855,11,10,13,Holstein Kiel,1553.7047051862078
161,Auxerre,FRA2,1475.8120224668694,13,8,17,Lorient,1545.3969895584416
162,West Ham,ENG,1474.9025370495142,10,12,16,Chelsea,1559.6633978494783
163,Albacete,ESP2,1474.8578965831448,11,16,15,Numancia,1532.705580945795
164,Lens,FRA2,1474.4771799973173,11,10,17,Nimes,1557.0799906431014
165,Guimaraes,POR,1474.1524658717472,13,4,17,Maritimo,1535.5289798559031
166,Ipswich,ENG2,1473.9244387029278,17,9,20,Derby,1542.679814906824
167,Leicester,ENG,1472.5796832190001,12,11,15,Arsenal,1535.277060685013
168,Newcastle,ENG,1472.2224292185585,12,8,18,Man United,1590.5390938815624
169,Leonesa,ESP2,1472.1019210939512,11,15,16,Tenerife,1529.9509079104946
170,Brescia,ITA2,1471.7734349990965,11,15,16,Venezia,1530.9230586842514
171,Ascoli,ITA2,1471.6213650306636,11,13,18,Bari,1539.1454939987455
172,Braunschweig,GER2,1471.5409616231273,8,15,11,Ingolstadt,1525.4762868405774
173,Erzgebirge Aue,GER2,1471.3163879081771,10,10,14,Sandhausen,1527.0254933147576
174,Augsburg,GER,1471.1758476556674,10,11,13,Ein Frankfurt,1537.1850333089008
175,Dresden,GER2,1470.8800499530007,11,8,15,Fortuna Dusseldorf,1552.1583598708369
176,QPR,ENG2,1470.54753791069,15,11,20,Aston Villa,1591.4187758829205
177,Lugo,ESP2,1470.4385064095281,15,10,17,Granada,1550.2925662937078
178,Avellino,ITA2,1470.2113666063246,11,15,16,Perugia,1548.2950977584503
179,Fleetwood Town,ENG3,1470.0096882297921,16,9,21,Bradford,1541.8304300318619
180,Oxford,ENG3,1469.9880068966365,15,11,20,Peterboro,1530.5549102160057
181,Valenciennes,FRA2,1469.371912035791,12,9,17,Ajaccio,1548.32752661228
182,Excelsior,NED,1468.7614918282245,11,7,16,Vitesse,1529.6917441647868
183,Willem II,NED,1468.2717249087182,10,7,17,PSV Eindhoven,1639.3769009629013
184,Leeds,ENG2,1468.1337911580304,17,9,20,Brentford,1533.842246901915
185,Cremonese,ITA2,1467.596147476742,9,21,12,Venezia,1561.1973965837817
186,Orleans,FRA2,1467.3085657734107,12,10,16,Le Havre,1543.785616028519
187,Almeria,ESP2,1466.6427055878355,12,12,18,Lugo,1520.7654847259198
188,Hull,ENG2,1466.136147765366,11,16,19,Sheffield United,1520.7054505394756
189,Tondela,POR,1465.3373331095952,10,8,16,Benfica,1643.351593010076
190,Spal,ITA,1465.3330407737528,8,14,16,Sampdoria,1493.71218899062
191,Oldham,ENG3,1464.4752857987055,11,17,18,Peterboro,1539.850564334508
192,Pescara,ITA2,1464.323593790693,11,15,16,Venezia,1518.7474187031028
193,Ath Bilbao,ESP,1462.8735827345529,10,13,15,Betis,1552.8350421998512
194,Kaiserslautern,GER2,1462.7505682081194,9,8,17,Holstein Kiel,1538.6329044010859
195,Zwolle,NED,1462.5099176183567,12,8,14,Heerenveen,1504.870602198949
196,Belenenses,POR,1462.1161123799732,9,10,15,Porto,1641.6562837407027
197,Angers,FRA,1460.9511014893649,9,14,15,Caen,1518.7594557572029
198,Brighton,ENG,1460.149087194041,9,13,16,Man United,1619.4815759465857
199,Portimonense,POR,1459.191654766991,10,8,16,Rio Ave,1529.948591630226
200,Hannover,GER,1458.5414867759944,10,9,15,Dortmund,1543.3358512121295
201,Mainz,GER,1458.2313404858407,9,9,16,Dortmund,1556.794595094098
202,Freiburg,GER,1455.5236504236989,8,12,14,Hoffenheim,1537.4896548658692
203,Niort,FRA2,1455.43976882974,11,9,18,Paris FC,1559.4291863355545
204,Chievo,ITA,1451.5451670412947,10,10,18,Sampdoria,1510.8045084703745
205,Walsall,ENG3,1450.99463864209,13,13,20,Scunthorpe,1557.0894367801468
206,Nott'm Forest,ENG2,1450.9635762111595,15,8,23,Wolves,1610.8931021539422
207,Genoa,ITA,1450.6123893293118,11,8,19,Lazio,1570.904034126485
208,Leganes,ESP,1450.214660931551,12,7,19,Betis,1539.5764026031673
209,Virtus Entella,ITA2,1449.703147877784,10,14,18,Bari,1537.0056261987515
210,NAC Breda,NED,1448.3438011130381,9,7,18,Utrecht,1533.6988926591312
211,Novara,ITA2,1447.2798840378236,10,14,18,Venezia,1531.798933370732
212,Barcelona B,ESP2,1446.9075962767333,10,14,18,Sp Gijon,1573.130350000539
213,Aves,POR,1446.309303079571,9,7,18,Boavista,1497.459609409028
214,Southampton,ENG,1445.8622877540445,7,15,16,West Brom,1497.2246517949727
215,Nancy,FRA2,1445.7105596177025,9,11,18,Valenciennes,1510.7150922243168
216,Northampton,ENG3,1445.380050155292,12,11,23,Plymouth,1556.5246324653438
217,Birmingham,ENG2,1445.138124234217,13,7,26,Fulham,1631.419457582051
218,Setubal,POR,1444.6734668027789,7,11,16,Maritimo,1525.0144088699149
219,Cagliari,ITA,1444.2428337682786,11,6,21,Atalanta,1553.9691003034397
220,Wolfsburg,GER,1443.0684575977973,6,15,13,M'gladbach,1538.995003006123
221,Ajaccio GFCO,FRA2,1442.537197756508,11,8,19,Nimes,1561.9898528670908
222,Lille,FRA,1442.210726075387,10,8,20,Lyon,1559.192633907054
223,Moreirense,POR,1442.0354316681332,8,8,18,Guimaraes,1517.7831838514626
224,VVV Venlo,NED,1439.558319266593,7,13,14,Feyenoord,1543.6616654054826
225,Strasbourg,FRA,1439.480475259239,9,11,18,Lyon,1611.2915124324345
226,Watford,ENG,1439.3797938787898,11,8,19,Chelsea,1566.0559480619197
227,Pro Vercelli,ITA2,1438.9426245700902,9,13,20,Parma,1561.9012438931773
228,Hamburg,GER,1438.559021157653,8,7,19,Schalke 04,1568.5129270532068
229,Roda,NED,1436.419381652248,8,6,20,Vitesse,1520.13872330045
230,Huddersfield,ENG,1435.0169760384063,9,10,19,Man United,1552.56068295094
231,Crotone,ITA,1434.1424278260142,9,8,21,Sampdoria,1532.5833707191318
232,Toulouse,FRA,1433.4148127682736,9,10,19,Nice,1511.6364502361498
233,Bourg Peronnas,FRA2,1433.1894966006553,10,6,22,Ajaccio,1546.2492464455381
234,Bolton,ENG2,1432.555335589089,10,13,23,Cardiff,1580.0524063517628
235,Udinese,ITA,1429.5701718955866,12,4,22,Inter,1597.2907478831764
236,Milton Keynes Dons,ENG3,1429.1004062114419,11,12,23,Shrewsbury,1574.6716759186365
237,Estoril,POR,1429.0941797379246,8,6,20,Sp Lisbon,1610.0924604504871
238,Pacos Ferreira,POR,1428.4791952909918,7,9,18,Porto,1650.655925913475
239,Burton,ENG2,1427.0055267895614,10,11,25,Derby,1541.5020371520432
240,Feirense,POR,1426.924536499187,9,4,21,Rio Ave,1516.965693582758
241,Reading,ENG2,1426.9215105260969,10,14,22,Derby,1537.047779226714
242,West Brom,ENG,1426.341483784487,6,13,19,Man United,1621.1399267607744
243,Quevilly Rouen,FRA2,1426.185747098419,9,6,23,Lorient,1535.1936202710901
244,Stoke,ENG,1425.8672397233693,7,12,19,Watford,1517.4696947881653
245,Caen,FRA,1421.9016188950754,10,8,20,Nantes,1519.793810348733
246,Ternana,ITA2,1421.3441772558338,7,16,19,Perugia,1544.7187475792173
247,Bologna,ITA,1420.2711399102448,11,6,21,Sampdoria,1553.2020066842185
248,Swansea,ENG,1417.756104151111,8,9,21,Liverpool,1591.6298394832515
249,Barnsley,ENG2,1417.373043384344,9,14,23,Brentford,1549.4030914484697
250,Sunderland,ENG2,1415.1508446942344,7,16,23,Wolves,1633.765612789319
251,Sparta Rotterdam,NED,1414.5568089089081,7,6,21,Den Haag,1514.9058134746858
252,Lorca,ESP2,1409.2378490335145,8,9,25,Numancia,1534.47541999585
253,La Coruna,ESP,1409.0278334520196,6,11,21,Getafe,1501.565781796896
254,Twente,NED,1407.6364249083565,5,9,20,Utrecht,1516.751716742419
255,Sevilla B,ESP2,1407.2615401566725,7,11,24,Zaragoza,1548.0943125972497
256,Bury,ENG3,1407.2330238606464,8,12,26,Shrewsbury,1576.4882552955748
257,Troyes,FRA,1403.8997472968717,9,6,23,St Etienne,1525.7141866147692
258,FC Koln,GER,1398.139282513703,5,7,22,Leverkusen,1547.0459866918616
259,Metz,FRA,1395.9485264577606,6,8,24,Rennes,1525.1791682078426
260,Tours,FRA2,1391.9638020583413,5,8,25,Lorient,1552.7396730026926
261,Benevento,ITA,1373.774317499117,6,3,29,Milan,1552.2145469075342
262,Verona,ITA,1365.2591956242602,7,4,27,Torino,1524.0382569154376
263,Las Palmas,ESP,1361.2095363941266,5,7,26,Valencia,1566.6829337716154
264,Malaga,ESP,1357.0441219993897,5,5,28,Villarreal,1528.221918798921
