rank,team,league,elo,wins,draws,losses,best_win_name,best_win_elo
158,Bologna,ITA,1479.6503446979123,11,11,16,Napoli,1551.9038823217857
159,Recreativo,ESP2,1479.4050607968493,15,9,18,Villarreal,1530.3254984501084
160,Reims,FRA,1478.7133983850874,10,13,15,Paris SG,1589.3520801495858
161,Mainz,GER,1478.0203379152276,10,12,12,Leverkusen,1559.489825080631
162,Niort,FRA2,1477.9158423558506,8,18,12,Caen,1541.239365675861
163,Zwolle,NED,1477.5110974500953,10,9,15,PSV Eindhoven,1569.6235176042053
164,Inter,ITA,1476.7444067607466,16,6,16,Juventus,1579.9969893479772
165,Carlisle,ENG3,1475.9508242851662,14,13,19,Doncaster,1572.0278712145641
166,Tranmere,ENG3,1475.7495939265352,19,10,17,Brentford,1575.097341301525
167,Norwich,ENG,1475.4675354817396,10,14,14,Man City,1610.1070831647246
168,West Ham,ENG,1475.3769948961822,12,10,16,Chelsea,1538.234472111574
169,Chievo,ITA,1475.1883702769899,12,9,17,Napoli,1575.353981773498
170,Espanol,ESP,1474.909158903659,11,11,16,Malaga,1530.1863211488785
171,Ingolstadt,GER2,1474.9002114241166,10,12,12,Aalen,1508.9387750907074
172,Paderborn,GER2,1474.5902057193525,11,9,14,Munich 1860,1518.2151355487126
173,Cittadella,ITA2,1474.2031411310309,12,14,16,Sassuolo,1567.866334668627
174,Lens,FRA2,1473.3805366212948,9,18,11,Auxerre,1503.8281990531286
175,Ath Bilbao,ESP,1473.2079771138997,12,9,17,Ath Madrid,1588.8789663414184
176,Swansea,ENG,1473.0827861927673,11,13,14,West Brom,1542.42484348189
177,Den Haag,NED,1472.3876204237279,9,13,12,Feyenoord,1594.5171062501047
178,Southampton,ENG,1471.7986420607149,9,14,15,Man City,1591.516241374599
179,AZ Alkmaar,NED,1471.5800492648796,10,9,15,Vitesse,1550.3337640677862
180,Dresden,GER2,1471.534405797524,9,10,15,Hertha,1605.9794687599153
181,Granada,ESP,1470.0810326231858,11,9,18,Real Madrid,1573.6641742467502
182,Chateauroux,FRA2,1470.0171242751276,8,18,12,Guingamp,1565.0786190289487
183,NAC Breda,NED,1469.699036816414,10,8,16,AZ Alkmaar,1508.7766663824516
184,Santander,ESP2,1469.6101969900874,12,10,20,Alcorcon,1543.6180306424076
185,Juve Stabia,ITA2,1468.6863981480944,12,14,16,Bari,1534.0039763998618
186,Aston Villa,ENG,1468.4813464441536,10,11,17,Swansea,1519.4249887221547
187,Bochum,GER2,1467.3822310625644,10,8,16,FC Koln,1556.7602326756871
188,Erzgebirge Aue,GER2,1467.0996168509735,9,10,15,Ingolstadt,1523.572621905117
189,Sochaux,FRA,1466.1766682732948,10,11,17,Paris SG,1594.4009680491513
190,West Brom,ENG,1465.4834064167073,14,7,17,Chelsea,1549.6069514481121
191,Heracles,NED,1465.2587285720329,9,11,14,Nijmegen,1505.437586750135
192,Laval,FRA2,1464.547187377424,10,12,16,Guingamp,1561.0123109913725
193,Sampdoria,ITA,1462.9516301129631,11,10,17,Juventus,1644.9889441159964
194,Troyes,FRA,1462.756230305828,8,13,17,Marseille,1542.6668463686285
195,Cordoba,ESP2,1462.3338454377258,15,9,18,Las Palmas,1553.1144808198699
196,Levante,ESP,1461.9587304580557,12,10,16,Getafe,1502.029968038478
197,Waalwijk,NED,1461.9194150469245,9,10,15,Vitesse,1583.5897188552838
198,Ajaccio,FRA,1461.2139175778411,9,15,14,Lyon,1573.9153095121635
199,Getafe,ESP,1461.15578355291,13,8,17,Sociedad,1577.5731127447582
200,Murcia,ESP2,1460.4853365086512,12,11,19,Elche,1568.062110823728
201,Evian Thonon Gaillard,FRA,1459.1071064067798,10,10,18,Nice,1558.3819263457067
202,Nancy,FRA,1458.828989274958,9,11,18,Nice,1558.959469874264
203,Huesca,ESP2,1458.4319450472638,11,12,19,Barcelona B,1517.5077257888568
204,Colchester,ENG3,1457.9032233270423,14,9,23,Yeovil,1561.0937825892825
205,Sabadell,ESP2,1457.6309229020171,14,10,18,Alcorcon,1548.7494417192204
206,Stoke,ENG,1457.1541555279903,9,15,14,West Brom,1531.1961062991547
207,Oldham,ENG3,1457.084572977151,14,9,23,Yeovil,1564.297413804642
208,Genoa,ITA,1456.568714270791,8,14,16,Lazio,1557.3940709645985
209,Roda,NED,1456.5620494035657,7,12,15,Nijmegen,1497.8874139890993
210,Torino,ITA,1456.141496583613,8,16,14,Lazio,1519.9400401660034
211,Augsburg,GER,1455.5551077339433,8,9,17,Hamburg,1519.1632972605641
212,Fulham,ENG,1455.2556647319734,11,10,17,Tottenham,1568.118099157539
213,Istres,FRA2,1454.080775883608,11,10,17,Guingamp,1557.1885810508631
214,Osasuna,ESP,1453.7964559727861,10,9,19,Getafe,1501.2958693212734
215,Millwall,ENG2,1453.5978813377665,15,11,20,Watford,1547.3247749483999
216,Scunthorpe,ENG3,1452.362623424559,13,9,24,Swindon,1542.954510444168
217,Valladolid,ESP,1451.8924123480485,11,10,17,Getafe,1519.6129052473439
