team,proj_record
LeTourneau,0-1
S Arkansas,0-1
Menlo,0-1
Colorado Coll,0-1
MO So St,0-1
GA College,0-1
Morehouse,0-1
Cumberland,0-1
Pit Greensburg,0-1
Doane,0-1
CINCYCLER,0-1
Centenary (NJ),0-1
WVU Tech,0-1
Piedmont,0-1
Ripon,0-1
St Mary's,0-1
Geneva,0-1
UNT Dallas,0-1
Arcadia,0-1
Manhatnvll,0-1
Rutgers-Camden,0-1
Hawai'i Hilo,0-1
Old Westbury,0-1
Franklin,0-1
AU Montgomery,0-1
George Fox,0-1
Marywood,0-1
Simpson,0-1
Saint Leo,0-1
Wash and Lee,0-1
Mobile,0-1
Northeastern St,0-1
Puget Sound,0-1
Redlands,0-1
Cameron,0-1
N Central (IL),0-1
Lourdes,0-1
Baptist (Fl),0-1
Paine,0-1
Wilson,0-1
Aquinas,0-1
Belmont Abbey,0-1
PSU York,0-1
Spring Hill,0-1
Lane,0-1
Holy Cross Col,0-1
Mt Saint Mary,0-1
PSU Hazleton,0-1
Trinity Tx,0-1
Mid Am Chr,0-1
Pacific Union,0-1
Missouri Bapt,0-1
Maine-Augusta,0-1
Whitman,0-1
Johnson C Smth,0-1
Ottawa (AZ),0-1
FL National,0-1
SLCP,0-1
Dist Columbia,0-1
Albany St,0-1
Clinton,0-1
Willamette,0-1
PSU Behrend,0-1
Fresno Pacific,0-1
Oglethorpe,0-1
Pensacola Chrs,0-1
Culver Stock,0-1
Rowan,0-1
Rob. Wesleyan,0-1
McMurry,0-1
Bloomsburg,0-1
Sarah Lawrence,0-1
Crown,0-1
Peru State,0-1
Tiffin,0-1
Plattsburgh,0-1
Kansas Chrstn,0-1
W Montana,0-1
Miami Hamilton,0-1
Lewis & Clark,0-1
Arkansas Tech,0-1
Shenandoah,0-1
Concordia (NE),0-1
Point,0-1
Boyce,0-1
Truett McCnnll,0-1
MIT,0-1
SalishKootenai,0-1
Kean,0-1
Greensboro,0-1
McKendree,0-1
St. Francis IL,0-1
Warner Pac,0-1
Lyon,0-1
Campbellsville,0-1
Bluefield,0-1
Morris,0-1
Warren Wilson,0-1
William Peace,0-1
Buena Vista,0-1
NW Okla St,0-1
Simpson (CA),0-1
Sci & Arts OK,0-1
Centenary (LA),0-1
Dkta Wesleyan,0-1
Apprentice,0-1
SUNY Canton,0-1
St John Fisher,0-1
Bryant Str OH,0-1
Jessup,0-1
Caldwell,0-1
UMass Boston,0-1
Harris Stowe,0-1
EMERSON,0-1
Northern NM,0-1
Berea,0-1
Bluefield St,0-1
Lady of Lake,0-1
Hunting AL,0-1
Regis U,0-1
Alice Lloyd,0-1
Ozark Chrstn,0-1
Widener,0-1
St Joseph's LI,0-1
UC Col Springs,0-1
AK-Anchorage,0-1
Lncstr Bible,0-1
Voorhees,0-1
Hanover,0-1
Olivet,0-1
Occidental,0-1
Pacif. Lutheran,0-1
Caltech,0-1
Thiel,0-1
Regis College,0-1
Southwest,0-1
York (NE),0-1
Alfred St,0-1
Embry Rid (AZ),0-1
WV Wesleyan,0-1
John Jay,0-1
Salve Regina,0-1
Mitchell,0-1
Randolph,0-1
UTPermianBasin,0-1
Fisher,0-1
Emmanuel (MA),0-1
Allegheny,0-1
SUNY Coble,0-1
Mayville St,0-1
Gwynedd Mercy,0-1
Bryant Str-Alb,0-1
Loras,0-1
Franciscan,0-1
Fort Valley St,0-1
Southern NO,0-1
Lehman,0-1
VT-Lyndon,0-1
Mercy,0-1
Western NM,0-1
John Brown,0-1
PSU New Kens,0-1
Houghton,0-1
Paul Quinn,0-1
Merch Marn,0-1
Gallaudet,0-1
UT Southern,0-1
LA Christian,0-1
Valley Forge,0-1
Rivier,0-1
Evangel,0-1
Benedictne,0-1
Trinity (FL),0-1
ME Fort Kent,0-1
SUNY Delhi,0-1
Earlham,0-1
Paul Smith's,0-1
St Joseph BKN,0-1
McPherson,0-1
Adrian,0-1
B'tine Mesa,0-1
St Elizabeth,0-1
Curry,0-1
Dicknsn PA,0-1
Christendom,0-1
Waynesburg,0-1
Mansfield,0-1
Brevard,0-1
Miami Mid'town,0-1
IU Columbus,0-1
J&W (NC),0-1
Kentucky St,0-1
Spurgeon,0-1
THMAS,0-1
St. Ambrose,0-1
Holy Family,0-1
Han LaGrange,0-1
Eastern,0-1
Rust,0-1
Elmira,0-1
Miss for Women,0-1
